"Article","Number of tweets","Number of tweets(in thousands)","Date"
"coronavirus","338424","339","04/20/2020"
"covid","202177","203","04/20/2020"
"covid19","200568","201","04/20/2020"
"19","193726","194","04/20/2020"
"nan","85535","86","04/20/2020"
"people","50075","51","04/20/2020"
"amp","45364","46","04/20/2020"
"trump","40585","41","04/20/2020"
"via","37966","38","04/20/2020"
"pandemic","36066","37","04/20/2020"
"us","34208","35","04/20/2020"
"new","34039","35","04/20/2020"
"cases","33927","34","04/20/2020"
"lockdown","27452","28","04/20/2020"
"virus","26078","27","04/20/2020"
"one","25174","26","04/20/2020"
"news","24978","25","04/20/2020"
"like","24621","25","04/20/2020"
"china","23457","24","04/20/2020"
"get","22912","23","04/20/2020"
"crisis","22711","23","04/20/2020"
"time","22657","23","04/20/2020"
"world","20484","21","04/20/2020"
"deaths","19922","20","04/20/2020"
"20","19793","20","04/20/2020"
"help","19662","20","04/20/2020"
"health","19608","20","04/20/2020"
"need","18992","19","04/20/2020"
"home","18668","19","04/20/2020"
"di","18320","19","04/20/2020"
"realdonaldtrump","17689","18","04/20/2020"
"000","17316","18","04/20/2020"
"si","16095","17","04/20/2020"
"would","15876","16","04/20/2020"
"know","15676","16","04/20/2020"
"2020","15564","16","04/20/2020"
"government","15166","16","04/20/2020"
"et","15037","16","04/20/2020"
"state","14495","15","04/20/2020"
"testing","14456","15","04/20/2020"
"covidー19","14372","15","04/20/2020"
"please","14317","15","04/20/2020"
"il","14308","15","04/20/2020"
"go","14215","15","04/20/2020"
"could","14170","15","04/20/2020"
"see","13765","14","04/20/2020"
"des","13602","14","04/20/2020"
"many","13422","14","04/20/2020"
"good","13417","14","04/20/2020"
"today","13228","14","04/20/2020"
"stay","13089","14","04/20/2020"
"may","12960","13","04/20/2020"
"corona","12896","13","04/20/2020"
"due","12817","13","04/20/2020"
"per","12733","13","04/20/2020"
"work","12697","13","04/20/2020"
"death","12482","13","04/20/2020"
"die","12245","13","04/20/2020"
"still","12117","13","04/20/2020"
"take","12080","13","04/20/2020"
"says","12025","13","04/20/2020"
"casos","12014","13","04/20/2020"
"day","11959","12","04/20/2020"
"du","11897","12","04/20/2020"
"going","11896","12","04/20/2020"
"the","11871","12","04/20/2020"
"first","11824","12","04/20/2020"
"da","11627","12","04/20/2020"
"country","11608","12","04/20/2020"
"even","11530","12","04/20/2020"
"back","11377","12","04/20/2020"
"right","11319","12","04/20/2020"
"fight","11154","12","04/20/2020"
"test","11059","12","04/20/2020"
"make","11009","12","04/20/2020"
"est","10927","11","04/20/2020"
"live","10873","11","04/20/2020"
"support","10781","11","04/20/2020"
"think","10767","11","04/20/2020"
"workers","10684","11","04/20/2020"
"total","10602","11","04/20/2020"
"social","10598","11","04/20/2020"
"re","10597","11","04/20/2020"
"response","10567","11","04/20/2020"
"april","10544","11","04/20/2020"
"care","10505","11","04/20/2020"
"spread","10206","11","04/20/2020"
"also","10088","11","04/20/2020"
"na","10076","11","04/20/2020"
"let","9997","10","04/20/2020"
"want","9978","10","04/20/2020"
"well","9974","10","04/20/2020"
"times","9963","10","04/20/2020"
"pour","9963","10","04/20/2020"
"uk","9954","10","04/20/2020"
"outbreak","9750","10","04/20/2020"
"great","9749","10","04/20/2020"
"india","9648","10","04/20/2020"
"positive","9574","10","04/20/2020"
"way","9485","10","04/20/2020"
"read","9481","10","04/20/2020"
"patients","9465","10","04/20/2020"
"pandemia","9411","10","04/20/2020"
"say","9354","10","04/20/2020"
"president","9343","10","04/20/2020"
"10","9238","10","04/20/2020"
"business","9099","10","04/20/2020"
"hospital","9020","10","04/20/2020"
"states","9004","10","04/20/2020"
"said","8975","9","04/20/2020"
"stop","8953","9","04/20/2020"
"week","8860","9","04/20/2020"
"tests","8853","9","04/20/2020"
"much","8677","9","04/20/2020"
"keep","8673","9","04/20/2020"
"come","8622","9","04/20/2020"
"really","8464","9","04/20/2020"
"daily","8260","9","04/20/2020"
"last","8060","9","04/20/2020"
"must","8000","8","04/20/2020"
"stayhome","7933","8","04/20/2020"
"every","7863","8","04/20/2020"
"gt","7815","8","04/20/2020"
"public","7801","8","04/20/2020"
"non","7787","8","04/20/2020"
"thank","7783","8","04/20/2020"
"life","7702","8","04/20/2020"
"amid","7626","8","04/20/2020"
"year","7612","8","04/20/2020"
"pas","7589","8","04/20/2020"
"latest","7544","8","04/20/2020"
"video","7524","8","04/20/2020"
"money","7479","8","04/20/2020"
"america","7455","8","04/20/2020"
"dr","7359","8","04/20/2020"
"to","7335","8","04/20/2020"
"media","7310","8","04/20/2020"
"economy","7277","8","04/20/2020"
"job","7277","8","04/20/2020"
"free","7275","8","04/20/2020"
"true","7246","8","04/20/2020"
"look","7224","8","04/20/2020"
"lives","7215","8","04/20/2020"
"days","7204","8","04/20/2020"
"number","7180","8","04/20/2020"
"dan","7164","8","04/20/2020"
"americans","7140","8","04/20/2020"
"update","7104","8","04/20/2020"
"youtube","7098","8","04/20/2020"
"covid_19","7083","8","04/20/2020"
"million","7049","8","04/20/2020"
"open","7003","8","04/20/2020"
"data","6920","7","04/20/2020"
"real","6909","7","04/20/2020"
"man","6905","7","04/20/2020"
"got","6900","7","04/20/2020"
"usa","6865","7","04/20/2020"
"post","6804","7","04/20/2020"
"working","6775","7","04/20/2020"
"safe","6754","7","04/20/2020"
"vía","6678","7","04/20/2020"
"app","6670","7","04/20/2020"
"oil","6663","7","04/20/2020"
"em","6652","7","04/20/2020"
"businesses","6632","7","04/20/2020"
"face","6628","7","04/20/2020"
"made","6627","7","04/20/2020"
"au","6570","7","04/20/2020"
"died","6569","7","04/20/2020"
"gobierno","6554","7","04/20/2020"
"everyone","6539","7","04/20/2020"
"global","6534","7","04/20/2020"
"une","6531","7","04/20/2020"
"com","6527","7","04/20/2020"
"thanks","6485","7","04/20/2020"
"use","6479","7","04/20/2020"
"sur","6478","7","04/20/2020"
"medical","6460","7","04/20/2020"
"quarantine","6442","7","04/20/2020"
"never","6432","7","04/20/2020"
"hope","6430","7","04/20/2020"
"relief","6307","7","04/20/2020"
"together","6304","7","04/20/2020"
"24","6257","7","04/20/2020"
"family","6237","7","04/20/2020"
"another","6214","7","04/20/2020"
"two","6138","7","04/20/2020"
"risk","6134","7","04/20/2020"
"next","6113","7","04/20/2020"
"give","6088","7","04/20/2020"
"end","5965","6","04/20/2020"
"case","5962","6","04/20/2020"
"in","5957","6","04/20/2020"
"watch","5921","6","04/20/2020"
"since","5914","6","04/20/2020"
"salud","5882","6","04/20/2020"
"online","5880","6","04/20/2020"
"getting","5878","6","04/20/2020"
"food","5873","6","04/20/2020"
"dans","5870","6","04/20/2020"
"around","5867","6","04/20/2020"
"countries","5853","6","04/20/2020"
"confirmed","5853","6","04/20/2020"
"twitter","5853","6","04/20/2020"
"vaccine","5820","6","04/20/2020"
"check","5790","6","04/20/2020"
"não","5757","6","04/20/2020"
"without","5752","6","04/20/2020"
"better","5731","6","04/20/2020"
"god","5717","6","04/20/2020"
"tested","5673","6","04/20/2020"
"40","5618","6","04/20/2020"
"article","5557","6","04/20/2020"
"updates","5546","6","04/20/2020"
"ca","5546","6","04/20/2020"
"100","5545","6","04/20/2020"
"mais","5517","6","04/20/2020"
"flu","5516","6","04/20/2020"
"qui","5503","6","04/20/2020"
"yet","5497","6","04/20/2020"
"ondrinaivomvaa","5484","6","04/20/2020"
"done","5456","6","04/20/2020"
"numbers","5430","6","04/20/2020"
"small","5358","6","04/20/2020"
"weeks","5355","6","04/20/2020"
"call","5346","6","04/20/2020"
"long","5311","6","04/20/2020"
"plus","5281","6","04/20/2020"
"ser","5275","6","04/20/2020"
"va","5272","6","04/20/2020"
"information","5250","6","04/20/2020"
"pay","5241","6","04/20/2020"
"30","5240","6","04/20/2020"
"best","5228","6","04/20/2020"
"county","5222","6","04/20/2020"
"community","5221","6","04/20/2020"
"che","5221","6","04/20/2020"
"order","5211","6","04/20/2020"
"needs","5198","6","04/20/2020"
"impact","5187","6","04/20/2020"
"love","5187","6","04/20/2020"
"hoy","5177","6","04/20/2020"
"report","5170","6","04/20/2020"
"and","5145","6","04/20/2020"
"distancing","5123","6","04/20/2020"
"already","5117","6","04/20/2020"
"cnn","5089","6","04/20/2020"
