Country Name,name,day,Cumulative_Deaths,Confirmed_Cases,id,population,Percent_Population_Affected,riskCategory1,riskCategory2,reset
Papua New Guinea,Papua New Guinea,4/9/2020,0,1,PNG,6064515,0,Low,Low,All-Countries
Saint Pierre and Miquelon,Saint Pierre and Miquelon,4/9/2020,0,1,227,6010,0.0166,Low,Low,All-Countries
South Sudan,South Sudan,4/9/2020,0,1,SDS,12152321,0,Low,Low,All-Countries
Timor-Leste,Timor-Leste,4/9/2020,0,1,TLS,1154625,0.0001,Low,Low,All-Countries
Anguilla,Anguilla,4/9/2020,0,3,221,14764,0.0203,Low,Low,All-Countries
British Virgin Islands,British Virgin Islands,4/9/2020,0,3,215,24939,0.012,Low,Low,All-Countries
Burundi,Burundi,4/9/2020,0,3,BDI,9863117,0,Low,Low,All-Countries
Sao Tome and Principe,Sao Tome and Principe,4/9/2020,0,4,186,175808,0.0023,Low,Low,All-Countries
Bhutan,Bhutan,4/9/2020,0,5,BTN,699847,0.0007,Low,Low,All-Countries
Montserrat,Montserrat,4/9/2020,0,6,228,5118,0.1172,Low,Low,All-Countries
Sierra Leone,Sierra Leone,4/9/2020,0,6,SLE,5245695,0.0001,Low,Low,All-Countries
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,4/9/2020,0,7,193,104217,0.0067,Low,Low,All-Countries
Somalia,Somalia,4/9/2020,0,8,SOM,10112453,0.0001,Low,Low,All-Countries
Central African Republic,Central African Republic,4/9/2020,0,9,CAF,4844927,0.0002,Low,Low,All-Countries
Nepal,Nepal,4/9/2020,0,9,NPL,28951852,0,Low,Low,All-Countries
Chad,Chad,4/9/2020,0,10,TCD,10543464,0.0001,Low,Low,All-Countries
Mozambique,Mozambique,4/9/2020,0,10,MOZ,22061451,0,Low,Low,All-Countries
Saint Kitts and Nevis,Saint Kitts and Nevis,4/9/2020,0,10,207,49898,0.02,Low,Low,All-Countries
Greenland,Greenland,4/9/2020,0,11,GRL,57637,0.0191,Low,Low,All-Countries
Seychelles,Seychelles,4/9/2020,0,11,196,88340,0.0125,Low,Low,All-Countries
Grenada,Grenada,4/9/2020,0,12,190,107818,0.0111,Low,Low,All-Countries
Saint Lucia,Saint Lucia,4/9/2020,0,14,187,160922,0.0087,Low,Low,All-Countries
Antigua and Barbuda,Antigua and Barbuda,4/9/2020,0,15,197,86754,0.0173,Low,Low,All-Countries
Dominica,Dominica,4/9/2020,0,15,DOM,72813,0.0206,Low,Low,All-Countries
Fiji,Fiji,4/9/2020,0,15,FJI,957780,0.0016,Low,Low,All-Countries
Equatorial Guinea,Equatorial Guinea,4/9/2020,0,16,GNQ,650702,0.0025,Low,Low,All-Countries
Mongolia,Mongolia,4/9/2020,0,16,MNG,3086918,0.0005,Low,Low,All-Countries
Namibia,Namibia,4/9/2020,0,16,NAM,2128471,0.0008,Low,Low,All-Countries
New Caledonia,New Caledonia,4/9/2020,0,18,NCL,229993,0.0078,Low,Low,All-Countries
Maldives,Maldives,4/9/2020,0,19,174,395650,0.0048,Low,Low,All-Countries
Eritrea,Eritrea,4/9/2020,0,31,ERI,5792984,0.0005,Low,Low,All-Countries
Guinea-Bissau,Guinea-Bissau,4/9/2020,0,33,GNB,1565126,0.0021,Low,Low,All-Countries
Monaco,Monaco,4/9/2020,0,40,212,30586,0.1308,Low,Low,All-Countries
French Polynesia,French Polynesia,4/9/2020,0,47,179,291000,0.0162,Low,Low,All-Countries
Uganda,Uganda,4/9/2020,0,52,UGA,33398682,0.0002,Low,Low,All-Countries
Aruba,Aruba,4/9/2020,0,71,192,104589,0.0679,Low,Low,All-Countries
Madagascar,Madagascar,4/9/2020,0,92,MDG,21281844,0.0004,Low,Low,All-Countries
Rwanda,Rwanda,4/9/2020,0,105,RWA,11055976,0.0009,Low,Low,All-Countries
Cambodia,Cambodia,4/9/2020,0,117,KHM,14753320,0.0008,Low,Low,All-Countries
Djibouti,Djibouti,4/9/2020,0,135,DJI,740528,0.0182,Low,Low,All-Countries
Guinea,Guinea,4/9/2020,0,144,GIN,10324025,0.0014,Low,Low,All-Countries
Faroe Islands,Faroe Islands,4/9/2020,0,184,208,49057,0.3751,Low,Low,All-Countries
Viet Nam,Vietnam,4/9/2020,0,251,VNM,89571130,0.0003,Low,Low,All-Countries
Malta,Malta,4/9/2020,0,293,173,406771,0.072,Low,Low,All-Countries
Gambia,Gambia,4/9/2020,1,4,GMB,1824158,0.0002,Low,Low,All-Countries
Botswana,Botswana,4/9/2020,1,6,BWA,2029307,0.0003,Low,Low,All-Countries
Mauritania,Mauritania,4/9/2020,1,6,MRT,3205060,0.0002,Low,Low,All-Countries
Nicaragua,Nicaragua,4/9/2020,1,6,NIC,5995928,0.0001,Low,Low,All-Countries
Belize,Belize,4/9/2020,1,7,BLZ,314522,0.0022,Low,Low,All-Countries
Malawi,Malawi,4/9/2020,1,8,MWI,15447500,0.0001,Low,Low,All-Countries
Turks and Caicos Islands,Turks and Caicos Islands,4/9/2020,1,8,216,23528,0.034,Low,Low,All-Countries
Suriname,Suriname,4/9/2020,1,10,SUR,486618,0.0021,Low,Low,All-Countries
Libya,Libya,4/9/2020,1,21,LBY,6461454,0.0003,Low,Low,All-Countries
Gabon,Gabon,4/9/2020,1,24,GAB,1545255,0.0016,Low,Low,All-Countries
United Republic of Tanzania,United Republic of Tanzania,4/9/2020,1,24,TZA,41892895,0.0001,Low,Low,All-Countries
Haiti,Haiti,4/9/2020,1,25,HTI,9203083,0.0003,Low,Low,All-Countries
Benin,Benin,4/9/2020,1,26,BEN,9056010,0.0003,Low,Low,All-Countries
Cayman Islands,Cayman Islands,4/9/2020,1,39,206,50209,0.0777,Low,Low,All-Countries
Zambia,Zambia,4/9/2020,1,39,ZMB,12056923,0.0003,Low,Low,All-Countries
United States Virgin Islands,United States Virgin Islands,4/9/2020,1,43,189,109775,0.0392,Low,Low,All-Countries
Liechtenstein,Liechtenstein,4/9/2020,1,78,210,35002,0.2228,Low,Low,All-Countries
Gibraltar,Gibraltar,4/9/2020,1,113,214,28877,0.3913,Low,Low,All-Countries
Isle of Man,Isle of Man,4/9/2020,1,150,199,76913,0.195,Low,Low,All-Countries
Kuwait,Kuwait,4/9/2020,1,855,KWT,2789132,0.0307,Moderate,Low,All-Countries
New Zealand,New Zealand,4/9/2020,1,969,NZL,4252277,0.0228,Moderate,Low,All-Countries
Zimbabwe,Zimbabwe,4/9/2020,2,11,ZWE,11651858,0.0001,Low,Low,All-Countries
Sudan,Sudan,4/9/2020,2,14,SDN,41980182,0,Low,Low,All-Countries
Angola,Angola,4/9/2020,2,17,AGO,13068161,0.0001,Low,Low,All-Countries
Syrian Arab Republic,Syrian Arab Republic,4/9/2020,2,19,SYR,22198110,0.0001,Low,Low,All-Countries
Saint Martin,Saint Martin,4/9/2020,2,31,213,30235,0.1025,Low,Low,All-Countries
Bermuda,Bermuda,4/9/2020,2,39,201,68268,0.0571,Low,Low,All-Countries
Ethiopia,Ethiopia,4/9/2020,2,52,ETH,88013491,0.0001,Low,Low,All-Countries
Barbados,Barbados,4/9/2020,2,60,180,285653,0.021,Low,Low,All-Countries
Mayotte,Mayotte,4/9/2020,2,184,181,231139,0.0796,Low,Low,All-Countries
Senegal,Senegal,4/9/2020,2,237,SEN,14086103,0.0017,Low,Low,All-Countries
Montenegro,Montenegro,4/9/2020,2,248,MNE,666730,0.0372,Low,Low,All-Countries
Oman,Oman,4/9/2020,2,419,OMN,2967717,0.0141,Low,Low,All-Countries
Oman,oman,4/9/2020,2,419,LKA,21513990,0.0019,Moderate,Low,All-Countries
Costa Rica,Costa Rica,4/9/2020,2,467,CRI,4516220,0.0103,Moderate,Low,All-Countries
Latvia,Latvia,4/9/2020,2,548,LVA,2217969,0.0247,Moderate,Low,All-Countries
Slovakia,Slovakia,4/9/2020,2,598,SVK,5470306,0.0109,Moderate,Low,All-Countries
Liberia,Liberia,4/9/2020,3,14,LBR,3685076,0.0004,Low,Low,All-Countries
Myanmar,Myanmar,4/9/2020,3,22,MMR,53414374,0,Low,Low,All-Countries
Togo,Togo,4/9/2020,3,58,TGO,6199841,0.0009,Low,Low,All-Countries
Jamaica,Jamaica,4/9/2020,3,59,JAM,2847232,0.0021,Low,Low,All-Countries
Guatemala,Guatemala,4/9/2020,3,77,GTM,13550440,0.0006,Low,Low,All-Countries
Jersey,Jersey,4/9/2020,3,170,195,91812,0.1852,Low,Low,All-Countries
