id,name,population
AFG,Afghanistan,29121286
218,Akrotiri,15700
ALB,Albania,3659616
DZA,Algeria,34586184
202,American Samoa,66432
198,Andorra,84525
AGO,Angola,13068161
221,Anguilla,14764
ATA,Antarctica,0
197,Antigua and Barbuda,86754
ARG,Argentina,41343201
ARM,Armenia,2966802
192,Aruba,104589
AUS,Australia,21515754
AUT,Austria,8214160
AZE,Azerbaijan,8303512
BHS,Bahamas,310426
163,Bahrain,738004
BGD,Bangladesh,158065841
180,Barbados,285653
BLR,Belarus,9612632
BEL,Belgium,10423493
BLZ,Belize,314522
BEN,Benin,9056010
201,Bermuda,68268
BTN,Bhutan,699847
BOL,Bolivia,9947418
BIH,Bosnia and Herzegovina,4621598
BWA,Botswana,2029307
BRA,Brazil,201103330
215,British Virgin Islands,24939
BRN,Brunei,395027
BGR,Bulgaria,7148785
BFA,Burkina Faso,16241811
MMR,Burma,53414374
BDI,Burundi,9863117
KHM,Cambodia,14753320
CMR,Cameroon,19294149
CAN,Canada,33759742
169,Cape Verde,508659
206,Cayman Islands,50209
CAF,Central African Republic,4844927
TCD,Chad,10543464
CHL,Chile,16746491
CHN,China,1330141295
232,Christmas Island,1402
236,Cocos (Keeling) Islands,596
COL,Colombia,44205293
160,Comoros,773407
COD,Congo,70916439
223,Cook Islands,11488
CRI,Costa Rica,4516220
CIV,Cote d'Ivoire,21058798
HRV,Croatia,4486881
CUB,Cuba,11477459
CYP,Cyprus,1102677
CZE,Czech Republic,10201707
DNK,Denmark,5515575
219,Dhekelia,15700
DJI,Djibouti,740528
DOM,Dominica,72813
DOM,Dominican Republic,9794487
ECU,Ecuador,14790608
EGY,Egypt,80471869
SLV,El Salvador,6052064
GNQ,Equatorial Guinea,650702
ERI,Eritrea,5792984
EST,Estonia,1291170
ETH,Ethiopia,88013491
FLK,Falkland Islands (Islas Malvinas),3140
208,Faroe Islands,49057
FJI,Fiji,957780
FIN,Finland,5255068
FRA,France,64057792
179,French Polynesia,291000
ATF,French Southern and Antarctic Lands,0
GAB,Gabon,1545255
GMB,Gambia,1824158
149,Gaza Strip,1604238
GEO,Georgia,4600825
DEU,Germany,82282988
GHA,Ghana,24339838
214,Gibraltar,28877
GRC,Greece,10749943
GRL,Greenland,57637
190,Grenada,107818
GTM,Guatemala,13550440
204,Guernsey,65632
GIN,Guinea,10324025
GNB,Guinea-Bissau,1565126
GUY,Guyana,748486
HTI,Haiti,9203083
235,Holy See (Vatican City),829
HND,Honduras,7989415
HKG,Hong Kong,7089705
HUN,Hungary,9880059
ISL,Iceland,308910
IND,India,1173108018
IDN,Indonesia,242968342
IRN,Iran,67037517
IRQ,Iraq,29671605
IRL,Ireland,4250163
199,Isle of Man,76913
ISR,Israel,7353985
ITA,Italy,58090681
JAM,Jamaica,2847232
JPN,Japan,126804433
195,Jersey,91812
JOR,Jordan,6407085
KAZ,Kazakhstan,15460484
KEN,Kenya,40046566
194,Kiribati,99482
KWT,Kosovo,1815048
OSA,Kosovo,1824000
KWT,Kuwait,2789132
KGZ,Kyrgyzstan,5508626
LAO,Laos,6993767
LVA,Latvia,2217969
LBN,Lebanon,4125247
LSO,Lesotho,1919552
LBR,Liberia,3685076
LBY,Libya,6461454
210,Liechtenstein,35002
